Sno,Candidate∇,Adilabad,Party,Criminal Case,Education,Total Assets,Liabilities
438,SHER SINGH GHUBAYA,Sant Kabir Nagar,SAD,0,10th Pass,"Rs 3,19,69,676","Rs 36,98,744"
439,SHETTI RAJU ALIAS DEVAPPA ANNA,Sasaram,SWP,0,10th Pass,"Rs 22,53,785","Rs 1,04,341"
440,SHIBU SOREN,Satara,JMM,3,10th Pass,"Rs 82,29,419","Rs 72,65,635"
441,SHINDE SUSHILKUMAR SAMBHAJIRAO,Satna,INC,0,Graduate Professional,"Rs 8,60,42,099","Rs 37,00,000"
442,SHIVAKUMAR CHANNABASAPPA UDASI,Secunderabad,BJP,0,Graduate,"Rs 32,33,61,935","Rs 3,38,33,437"
443,Shivaramgouda,Shahdol,BJP,0,Graduate Professional,"Rs 1,45,18,988","Rs 30,78,847"
444,SHIVRAJ BHAIYA,Shahjahanpur,BJP,0,12th Pass,"Rs 89,29,326","Rs 2,86,513"
445,Shri Bishnu Pada Ray,Sheohar,BJP,1,Graduate,"Rs 12,41,034",Rs 0
446,SHRIPAD YESSO NAIK,Shillong,BJP,0,Graduate,"Rs 98,97,462","Rs 9,12,582"
447,SHRUTI CHOUDHRY,Shimla,INC,0,Graduate Professional,"Rs 16,72,66,000","Rs 1,70,00,000"
448,Siddeswara.G.M,Shimoga,BJP,0,10th Pass,"Rs 14,02,48,867","Rs 42,63,675"
449,Sidhant Mohapatra,Shirdi,BJD,0,Post Graduate,"Rs 48,28,474","Rs 1,18,884"
450,SIVAKUMAR @ J.K. RITHEESH. K,Shirur,DMK,2,Graduate,"Rs 12,28,20,653","Rs 40,00,000"
451,SIVASAMI C,Shrawasti,ADMK,3,Post Graduate,"Rs 5,18,92,954",Rs 0
452,SK. NURUL ISLAM,Sidhi,AITC,0,12th Pass,"Rs 11,55,500","Rs 8,07,500"
453,SK. SAIDUL HAQUE,Sikar,CPM,0,Post Graduate,"Rs 24,14,520","Rs 1,28,172"
454,Sohan Potai,Sikkim,BJP,0,Post Graduate,"Rs 82,61,296",Rs 0
455,SOMABHAI GANDABHAI KOLIPATEL,Silchar,INC,0,5th Pass,"Rs 1,86,18,718",Rs 0
456,SOMENDRA NATH MITRA,Singhbhum,AITC,0,Graduate Professional,"Rs 1,47,30,832","Rs 1,57,500"
457,SONAWANE PRATAP NARAYANRAO,Sirsa,BJP,0,Graduate Professional,"Rs 14,21,57,029","Rs 65,81,693"
458,SONIA GANDHI,Sitamarhi,INC,0,Others,"Rs 1,37,94,768",Rs 0
459,SRI PABAN SINGH GHATOWAR,Sitapur,INC,0,Graduate,"Rs 97,97,014",Rs 0
460,SRI PRAKASH JAISWAL,Sivaganga,INC,0,12th Pass,"Rs 3,07,67,980",Rs 0
461,Srikanta Kumar Jena,Siwan,INC,0,Graduate,"Rs 59,79,551","Rs 8,62,820"
462,SUBHASH BAPURAO WANKHEDE,Solapur,SHS,4,10th Pass,"Rs 34,88,000","Rs 4,84,000"
463,SUBODH KANT SAHAY,Sonipat,INC,1,Graduate,"Rs 2,71,79,918",Rs 0
