PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Criminal Case,Education,,
['Bhadrak', '7', 'SC', 'Orissa', 'Arjun Charan Sethi', 'Biju Janata Dal', '1469498', '1081339', '73.6 %', '179359', '16.6%', '0', 'Post Graduate',,
['Bhagalpur', '26', 'GEN', 'Bihar [2000 Onwards]', 'Shailesh Kumar Urph Bulo Mandal', 'Rashtriya Janata Dal', '1685339', '974016', '57.8 %', '9485', '1.0%', '1', '12th Pass',,
['Bharatpur', '9', 'SC', 'Rajasthan', 'Bahadur Singh', 'Bharatiya Janta Party', '1686897', '962432', '57.1 %', '245468', '25.5%', '0', 'Literate',,
['Bharuch', '22', 'GEN', 'Gujarat', 'Vasava Mansukhbhai Dhanjibhai', 'Bharatiya Janta Party', '1417548', '1060211', '74.8 %', '153273', '14.5%', '0', 'Post Graduate',,
['Bhavnagar', '15', 'GEN', 'Gujarat', 'Dr. Bharatiben Dhirubhai Shiyal', 'Bharatiya Janta Party', '1594531', '917402', '57.5 %', '295488', '32.2%', '0', 'Graduate Professional',,
['Bhilwara', '23', 'GEN', 'Rajasthan', 'Subhash Baheria', 'Bharatiya Janta Party', '1754877', '1104090', '62.9 %', '246264', '22.3%', '0', 'Graduate',,
['Bhind', '2', 'SC', 'Madhya Pradesh [2000 Onwards]', 'Dr. Bhagirath Prasad', 'Bharatiya Janta Party', '1598169', '729084', '45.6 %', '159961', '21.9%', '0', 'Doctorate',,
['Bhiwandi', '23', 'GEN', 'Maharashtra', 'Kapil Moreshwar Patil', 'Bharatiya Janta Party', '1696589', '875605', '51.6 %', '109450', '12.5%', '0', 'Graduate',367']],
['Bhongir', '14', 'GEN', 'Telangana', 'Dr. Boora Narsaiah Goud', 'Telangana Rashtra Samithi', '1492251', '1211943', '81.2 %', '30494', '2.5%', '0', 'Post Graduate',088']],
['Bhopal', '19', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Alok Sanjar', 'Bharatiya Janta Party', '1956936', '1130182', '57.8 %', '370696', '32.8%', '0', 'Graduate Professional',,
['Bhubaneswar', '18', 'GEN', 'Orissa', 'Prasanna Kumar Patasani', 'Biju Janata Dal', '1527768', '891822', '58.4 %', '189477', '21.2%', 'BJD', '0',067']],
['Bidar', '7', 'GEN', 'Karnataka', 'Bhagwanth Khuba', 'Bharatiya Janta Party', '1600962', '959384', '59.9 %', '92222', '9.6%', '0', 'Graduate Professional',000']],
['Bijapur', '4', 'SC', 'Karnataka', 'Ramesh Jigajinagi', 'Bharatiya Janta Party', '1622635', '966757', '59.6 %', '69819', '7.2%', '2', 'Graduate',,
['Bijnor', '4', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Kunwar Bhartendra', 'Bharatiya Janta Party', '1562065', '1060346', '67.9 %', '205774', '19.4%', '2', 'Post Graduate',,
['Bikaner', '2', 'SC', 'Rajasthan', 'Arjun Ram Meghwal', 'Bharatiya Janta Party', '1591068', '929751', '58.4 %', '308079', '33.1%', '0', 'Post Graduate',,
['Bilaspur', '5', 'GEN', 'Chhattisgarh', 'Lakhan Lal Sahu', 'Bharatiya Janta Party', '1727325', '1090457', '63.1 %', '176436', '16.2%', '0', 'Post Graduate',,
['Birbhum', '42', 'GEN', 'West Bengal', 'Satabdi Roy', 'All India Trinamool Congress', '1495108', '1275819', '85.3 %', '67263', '5.3%', '0', 'Graduate',,
['Bishnupur', '37', 'SC', 'West Bengal', 'Khan Saumitra', 'All India Trinamool Congress', '1466921', '1272070', '86.7 %', '149685', '11.8%', '1', '12th Pass',,
['Bolangir', '10', 'GEN', 'Orissa', 'Kalikesh Narayan Singh Deo', 'Biju Janata Dal', '1563025', '1170405', '74.9 %', '104299', '8.9%', '2', 'Graduate',449']],
['Bolpur', '41', 'SC', 'West Bengal', 'Anupam Hazra', 'All India Trinamool Congress', '1538429', '1304756', '84.8 %', '236112', '18.1%', '0', 'Doctorate',,
['Bulandshahr', '14', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Bhola Singh', 'Bharatiya Janta Party', '1736447', '1009710', '58.2 %', '421973', '41.8%', '0', 'Graduate',,
['Buldhana', '5', 'GEN', 'Maharashtra', 'Jadhav Prataprao Ganpatrao', 'Shiv Sena', '1596234', '978626', '61.3 %', '159579', '16.3%', '2', '12th Pass',,
['Buxar', '33', 'GEN', 'Bihar [2000 Onwards]', 'Ashwini Kumar Choubey', 'Bharatiya Janta Party', '1640567', '888204', '54.1 %', '132338', '14.9%', '0', 'Graduate',,
['Chalakudy', '11', 'GEN', 'Kerala', 'Innocent', 'Independent', '1150491', '884033', '76.8 %', '13884', '1.6%', '0', '8th Pass',,
['Chamarajanagar', '22', 'SC', 'Karnataka', 'R. Dhruvanarayana', 'Indian National Congress', '1555779', '1133029', '72.8 %', '141182', '12.5%', '0', 'Post Graduate',,
['Chandauli', '76', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Dr Mahendra Nath Pandey', 'Bharatiya Janta Party', '1669140', '980572', '58.8 %', '156756', '16.0%', '0', 'Doctorate',,
['Chandigarh', '1', 'GEN', 'Chandigarh', 'Kher Kirron Anupam', 'Bharatiya Janta Party', '615214', '453455', '73.7 %', '69642', '15.4%', '0', 'Post Graduate',,
['Chandni Chowk', '1', 'GEN', 'Delhi [1977 Onwards]', 'Dr. Harsh Vardhan', 'Bharatiya Janta Party', '1447228', '981863', '67.8 %', '136320', '13.9%', '2', 'Post Graduate',,
['Chandrapur', '13', 'GEN', 'Maharashtra', 'Ahir Hansraj Gangaram', 'Bharatiya Janta Party', '1753690', '1109743', '63.3 %', '236269', '21.3%', '11', '10th Pass',,
