pc_name,pc_no,pc_type,st_name,year,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Aligarh,23,GEN,Uttar Pradesh,2014,Anand Prakash,M,Independent,IND,1620,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Udai Shyam Singh,M,Independent,IND,2075,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Mahesh Chandra,M,Independent,IND,2127,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Hari Sharan Singh,M,Independent,IND,2672,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Arshad Ali Khan,M,Independent,IND,7466,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Babu Lal Kushwaha,M,Apna Dal,AD,8058,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Arun Kumar Nehru,M,Bharatiya Janata Party,BJP,136217,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Anand Prakash Lodhi,M,Bahujan Samaj Party,BSP,137775,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Gajadhar Singh,M,Samajwadi Party,SP,150653,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Captain Satish Sharma,M,Indian National Congress,INC,224202,1174548
Aligarh,24,GEN,Uttar Pradesh,2014,Kamal Pratap Singh Alias Kamal,M,Independent,IND,268,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Vinod Singh,M,Independent,IND,287,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Uma Shankar Singh,M,Independent,IND,671,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Raghvendra,M,Independent,IND,831,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Mohd. Nasir Khan,M,Independent,IND,908,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Bhanu Prakash,M,Independent,IND,1040,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Radhika Prasad,M,Independent,IND,1049,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Rama Kant,M,Independent,IND,1238,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Ram Milan,M,Independent,IND,1368,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Ram Charitra Singh,M,Independent,IND,1900,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Mohan Lal,M,Independent,IND,1957,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Bidhideo,M,Ajeya Bharat Party,AJBP,2614,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Anand Pratap,M,Independent,IND,3420,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Shyam Lal,M,Bharatiya Samaj Dal,BSD,7607,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Ram Manohar,M,Apna Dal,AD,25359,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Shyad Ali,M,Samajwadi Party,SP,39922,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Ashok Kumar,M,Bahujan Samaj Party,BSP,78323,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Abhai Pratap Singh,M,Bharatiya Janata Party,BJP,196167,1189143
Aligarh,24,GEN,Uttar Pradesh,2014,Rajkumari Ratna Singh,F,Indian National Congress,INC,202170,1189143
Aligarh,25,GEN,Uttar Pradesh,2014,Hari Bansh Bahadur,M,Independent,IND,249,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Hari Krishna Lal,M,Independent,IND,294,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Tej Bahadur Singh\,M,Independent,IND,361,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Udai Raj,M,Independent,IND,469,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Shambhoo Dayal,M,Independent,IND,722,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Ram Newal Alis Ram Navel,M,Independent,IND,723,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Karuna Shanker,M,Independent,IND,783,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Hari Shanker Jain,M,Independent,IND,810,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Mo. Tahir,M,Ajeya Bharat Party,AJBP,833,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Raghvendra Pratap Singh,M,Independent,IND,906,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Shailendra Kumar,M,Independent,IND,921,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Mathura,M,Independent,IND,962,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Akhilesh,M,Independent,IND,1092,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Ram Kumar,M,Ambedkar Samaj Party,ASP,1441,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Mo. Sabir,M,Independent,IND,1485,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Krishna Kumar Mishra,M,Independent,IND,1640,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Karan Prasad,M,Independent,IND,1757,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Mabood,M,Apna Dal,AD,1761,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Ravindra Pratap,M,Independent,IND,1805,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Ram Tirath,M,Independent,IND,2526,1110623
