Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2200,Gawali Bhavana Pundlikrao,YAVATMAL WASHIM,SHS,4,Graduate,"Rs 6,08,86,040","Rs 73,68,967"
2201,Gawde Sukhdev Bhanudas,SATARA,IND,0,10th Pass,"Rs 21,70,000",Rs 0
2202,Gayadhar Mallick,JAJPUR,Samata Kranti Dal,1,10th Pass,"Rs 3,71,500",Rs 0
2203,Gayake Sadashiv Ambadas,AURANGABAD,SP,4,Graduate Professional,"Rs 1,20,25,302","Rs 2,27,000"
2204,Gaytri Prasad,ALLAHABAD,Bhartiya Shakti Chetna Party,0,12th Pass,"Rs 1,81,75,500","Rs 1,83,872"
2205,Gazi Atejad,DHULE,IND,0,10th Pass,"Rs 33,000",Rs 0
2206,Geddam Sampada Rao,AMALAPURAM,BSP,1,Graduate Professional,"Rs 11,74,000","Rs 1,00,000"
2207,Gedela Krishna Rao,VISAKHAPATNAM,IND,0,Post Graduate,"Rs 65,81,18,000",Rs 0
2208,Geeta Arya,SASARAM,AAP,0,8th Pass,"Rs 1,87,56,436",Rs 0
2209,Geeta Kora,SINGHBHUM,Jai Bharat Samanta Party,1,Graduate,"Rs 3,02,67,735","Rs 5,83,602"
2210,Geeta Rajput,GWALIOR,Al-Hind Party,0,12th Pass,"Rs 53,000",Rs 0
2211,Geeta Rani,BATHINDA,Akhil Bharatiya Shivsena Rashtrawadi,0,5th Pass,Nil,Rs 0
2212,Geetaram Ramchandra Kadam,SHIRUR,Socialist Party (India),0,12th Pass,"Rs 64,23,981","Rs 11,00,000"
2213,Geete Anant Gangaram,RAIGAD,SHS,0,10th Pass,"Rs 4,44,66,487","Rs 2,39,68,087"
2214,Geetha Shivarajkumar,SHIMOGA,JD(S),0,Graduate,"Rs 17,67,21,674","Rs 3,87,12,502"
2215,George Baker,HOWRAH,BJP,0,Others,"Rs 11,85,773",Rs 0
2216,George Mankidiyil,THIRUVANANTHAPURAM,IND,0,Graduate Professional,"Rs 2,01,03,771",Rs 0
2217,"George, V.a.",VELLORE,Bharatiya Dr. B.R.Ambedkar Janta Party,0,5th Pass,"Rs 7,850",Rs 0
2218,Germanus.s,TIRUNELVELI,IND,0,Post Graduate,"Rs 12,64,010",Rs 0
2219,Gh. Nabi Shah,ANANTNAG,SP,0,10th Pass,"Rs 1,99,39,000","Rs 8,78,970"
2220,Ghanashyam,VARANASI,IND,0,Post Graduate,"Rs 15,95,666",Rs 0
2221,Ghanshyam,KARAULI DHOLPUR,AAP,0,10th Pass,"Rs 21,00,191","Rs 1,00,000"
2222,Ghanshyam Anuragi,JALAUN,SP,1,Graduate Professional,"Rs 2,28,97,258","Rs 1,25,00,000"
2223,Ghanshyam Chandel,INDORE,IND,0,Graduate,"Rs 34,65,000","Rs 2,20,000"
2224,Ghanshyam Dass,NEW DELHI,IND,0,10th Pass,"Rs 2,10,43,000",Rs 0
2225,Ghanshyam Kudape,MANDLA,IND,0,10th Pass,"Rs 13,51,051",Rs 0
2226,Ghanshyam Singh,LUCKNOW,IND,0,Others,"Rs 78,42,986","Rs 18,57,893"
2227,Gharat Santosh Rohidas,MAVAL,Bahujan Mukti Party,0,8th Pass,"Rs 1,12,00,149","Rs 7,80,879"
2228,Ghaywan Roshan Jambuwantrao,CHANDRAPUR,Republican Paksha (Khoripa),0,Post Graduate,"Rs 19,21,000",Rs 0
2229,Ghisu Lal,BHARATPUR,IND,0,12th Pass,"Rs 2,75,000",Rs 0
2230,Gholap Sandeep Bhaskar,SHIRDI,IND,0,8th Pass,"Rs 1,93,600",Rs 0
2231,Ghosh Niranjan Somabhai,GANDHINAGAR,BSP,0,Graduate,"Rs 40,63,969",Rs 0
2232,Ghulam Kundanam,KARAKAT,AAP,1,Graduate Professional,"Rs 6,23,000","Rs 2,80,800"
