Sno,Candidate?,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2378,HARI RAMA,Almora,IND,0,Post Graduate,"Rs 8,16,202","Rs 20,000"
2379,HARI SHANKAR SHARMA,Ghaziabad,BPD,0,Doctorate,"Rs 1,69,64,367","Rs 22,48,599"
2380,HARI SINGH MARAVI,Jabalpur,GMS,0,12th Pass,"Rs 32,000",Rs 0
2381,HARIBAKHSH,Hardoi,NBNP,0,Literate,"Rs 7,54,000",Rs 0
2382,HARIBHAI PARTHIBHAI CHAUDHARY,Banaskantha,BJP,0,Graduate,"Rs 1,04,86,787",Rs 0
2383,Haribhakta Sardar,Jalpaiguri,IND,1,12th Pass,"Rs 1,90,000","Rs 45,000"
2384,HARIBHAU DADAJI SHINDE,Maval,IND,0,10th Pass,"Rs 6,21,283",Rs 0
2385,HARIBHAU MADHAV JAWALE,Raver,BJP,0,Graduate,"Rs 78,42,881","Rs 6,29,917"
2386,"HARIBHUSHAN THAKUR ""BACHOL""",Madhubani,IND,3,Graduate,"Rs 17,55,384","Rs 7,95,800"
2387,HARICHARAN PRASAD,Nalanda,BMF,0,10th Pass,"Rs 58,000",Rs 0
2388,Haridas Thakur,Darjeeling,BSP,0,Graduate,"Rs 29,15,000",Rs 0
2389,HARIGARA SIVAM.T.A,Namakkal,BSP,2,Others,"Rs 2,68,000",Rs 0
2390,HARIHAR,Ballia,IND,0,10th Pass,"Rs 5,68,175",Rs 0
2391,HARIJAN AMBANNA TUKARAM,Bijapur,IND,0,Graduate,"Rs 2,80,000",Rs 0
2392,HARIKEWAL,Salempur,SP,0,8th Pass,"Rs 66,19,949",Rs 0
2393,HARILAL,Bansgaon,BUM,1,8th Pass,"Rs 1,13,000",Rs 0
2394,HARILAL RANCHHODBHAI CHAUHAN,Junagadh,IND,0,Post Graduate,"Rs 5,00,353",Rs 0
2395,HARILAL SANABHAI VASAVA,Vadodara,IND,0,Literate,"Rs 1,07,000",Rs 0
2396,HARIN PATHAK,Ahmedabad East,BJP,2,Post Graduate,"Rs 1,45,78,184","Rs 22,734"
2397,HARINBHAI RAMNIKBHAI MAKWANA,Bhavnagar,IND,0,Literate,"Rs 12,40,000",Rs 0
2398,HARIRAM PATEL DELMIWALA,Dhar,IND,9,10th Pass,"Rs 16,93,944",Rs 0
2399,HARIRAM THAKUR,Damoh,GGP,2,Not Given,"Rs 2,50,000",Rs 0
2400,HARISH CHANDRA,Sant Kabir Nagar,IND,0,Literate,"Rs 6,20,000",Rs 0
2401,HARISH CHANDRA,Gorakhpur,IND,0,10th Pass,"Rs 2,52,502",Rs 0
2402,HARISH CHANDRA,Ghosi,RJPK,0,Post Graduate,"Rs 1,34,00,386","Rs 14,91,564"
2403,HARISH CHANDRA SWARANKAR,Fatehpur,IND,0,12th Pass,"Rs 7,40,500",Rs 0
2404,Harish choudhary,Barmer,INC,0,Graduate,"Rs 49,53,849","Rs 12,95,812"
2405,HARISH GURJAR,Bhilwara,BSP,0,Graduate Professional,"Rs 2,18,98,867","Rs 7,52,000"
2406,HARISH KUMAR,Bhiwani-Mahendragarh,IND,0,10th Pass,"Rs 1,40,000",Rs 0
2407,HARISH KUMAR,Ludhiana,RWS,0,Not Given,"Rs 3,00,000",Rs 0
2408,HARISH KUMAR,Pilibhit,BSRD,0,8th Pass,"Rs 1,32,800",Rs 0
2409,HARISH NAGPAL,Amroha,IND,0,10th Pass,"Rs 26,12,50,266","Rs 1,03,32,879"
2410,HARISH RAWAT,Hardwar,INC,1,Graduate Professional,"Rs 1,18,25,335",Rs 0
2411,HARISH WALIA,Tehri Garhwal,IND,0,Post Graduate,"Rs 3,35,20,821",Rs 0
2412,HARISHANKAR,Domariyaganj,LJP,0,Graduate,"Rs 32,85,000",Rs 0
2413,HARISHCHAND,Salempur,EKSP,0,8th Pass,"Rs 2,70,000",Rs 0
2414,HARISING RATHOD,Yavatmal-Washim,INC,1,Graduate,"Rs 1,15,12,482","Rs 7,44,157"
2415,HARJEET SINGH,Lucknow,IND,0,12th Pass,"Rs 9,54,000","Rs 22,00,000"
2416,HARJIT SINGH,Khadoor Sahib,IND,0,10th Pass,"Rs 7,63,000",Rs 0
2417,HARKRISHAN DAS NIJHAWAN,New Delhi,IND,0,12th Pass,"Rs 1,61,04,164","Rs 46,634"
2418,HARMEET SINGH,Amritsar,LJP,0,10th Pass,"Rs 22,000",Rs 0
2419,HARMESH LAL SAROYA,Hoshiarpur,IND,0,Not Given,"Rs 1,30,000",Rs 0
2420,HARMOHAN DHAWAN,Chandigarh,BSP,0,Post Graduate,"Rs 14,69,79,000","Rs 1,70,000"
2421,HARPAL SINGH,Pilibhit,RCP,0,12th Pass,"Rs 1,10,000",Rs 0
2422,HARSH BHATIYA,Faridabad,IND,0,Not Given,"Rs 4,030",Rs 0
2423,HARSH MALHOTRA,New Delhi,JKNPP,0,Graduate,"Rs 5,87,390",Rs 0
2424,HARSH VARDHAN PANDEY,Gonda,Lok Dal,0,Graduate,"Rs 21,91,000","Rs 5,00,000"
2425,HARSIMRAT KAUR,Bathinda,SAD,0,10th Pass,"Rs 60,31,00,135","Rs 13,800"
2426,HARSURBHAI RAMBHAI RABA,Surendranagar,IND,0,Not Given,"Rs 12,46,000",Rs 0
2427,HARUNAL RASHID KAJI,Diamond Harbour,NCP,0,Graduate Professional,"Rs 5,07,400","Rs 25,140"
2428,HARWINDER SINGH,Patiala,IND,0,12th Pass,"Rs 72,31,500","Rs 7,00,000"
2429,HASAN MANZOOR HASHMI,Pataliputra,ANC,3,10th Pass,"Rs 44,000",Rs 0
2430,HASHRATH JAYRAM PAGARE,Ahmedabad East,RSPS,0,10th Pass,"Rs 3,119",Rs 0
2431,HASMUKHBHAI RAVJIBHAI KATARIA,Banaskantha,Loktantrik Samajwadi Party,0,10th Pass,"Rs 62,000",Rs 0
2432,HASSAN FAIZI HASHMI,Patna Sahib,ANC,3,Graduate,"Rs 36,000","Rs 5,13,000"
2433,HASSAN KHAN,Ladakh,IND,0,Graduate,"Rs 60,65,000",Rs 0
2434,Hattiram,Karauli-Dholpur,BSP,0,5th Pass,"Rs 43,75,000",Rs 0
2435,HAWA SINGH,Karnal,RASJP,0,5th Pass,"Rs 16,58,455",Rs 0
2436,HAZARIMAL,Jalore,IND,0,8th Pass,"Rs 1,85,000",Rs 0
2437,HEERA LAL,Bahraich,ANC,0,Graduate Professional,"Rs 11,20,000",Rs 0
2438,HEERA SINGH,Mathura,NELU,0,Not Given,"Rs 5,50,000",Rs 0
2439,Heera Singh Markam,Korba,GGP,3,Post Graduate,"Rs 8,27,089",Rs 0
2440,HEERALAL,Shahjahanpur,Ambedkar Pragatisheel Republican Dal,1,12th Pass,"Rs 3,96,000",Rs 0
2441,HEGADE VENKATESH DAMODAR,Uttara Kannada,JD(S),0,8th Pass,"Rs 2,10,11,480","Rs 46,14,744"
2442,HELEN DAVIDSON J,Kanniyakumari,DMK,0,Post Graduate,"Rs 4,84,55,728","Rs 21,23,538"
2443,HEM CHAND RGARWAL,Sikar,BCP,0,12th Pass,"Rs 1,89,000",Rs 0
2444,HEM RAJ,Ambala,LJP,0,Not Given,"Rs 6,72,423","Rs 3,70,000"
2445,HEMA MOHAN,South Delhi,RKJP,0,12th Pass,"Rs 1,18,500",Rs 0
2446,HEMALSINH DAJIBHAI DODIYA,Kheda,MJP,0,10th Pass,"Rs 21,17,024","Rs 29,889"
2447,HEMANAND BISWAL,Sundargarh,INC,0,12th Pass,"Rs 39,65,226",Rs 0
2448,HEMANT KUMAR SINGH,Patna Sahib,IND,0,Graduate,"Rs 38,30,000","Rs 5,25,000"
2449,HEMANTKUMAR JERAMBHAI GOHIL,Bharuch,IND,1,Literate,"Rs 25,000",Rs 0
2450,HEMLAL MURMU,Rajmahal,JMM,2,Graduate,"Rs 1,06,80,606","Rs 25,51,759"
2451,HenaShahab,Siwan,RJD,1,Graduate,"Rs 2,02,19,931","Rs 2,93,000"
2452,HENNURU LAKSHMINARAYANA,Chikkballapur,BSP,0,12th Pass,"Rs 1,45,07,500",Rs 0
2453,HERAMBA MOHAN PANDIT,Nowgong,IND,0,Not Given,"Rs 2,33,000",Rs 0
2454,HET RAM,Ganganagar,Rajasthan Vikas Party,0,10th Pass,"Rs 3,57,400","Rs 10,000"
2455,HETA KUMARPAL PARIKH,Gandhinagar,IND,0,Graduate,"Rs 21,55,520","Rs 46,200"
2456,HETALKUMAR NAROTTAMBHAI THUMBER,Junagadh,BNJD,1,12th Pass,"Rs 1,23,000",Rs 0
2457,HIDDHINATH RONGPI,Autonomous District,NCP,0,Graduate,"Rs 16,17,930",Rs 0
2458,HIKIM CHANDRA TUDU,Singhbhum,BSP,0,12th Pass,"Rs 12,95,000","Rs 30,000"
2459,HIKIM SOREN,Singhbhum,IND,0,5th Pass,"Rs 70,500",Rs 0
2460,HILAL AHMED BAIG,Jammu,IND,0,Literate,"Rs 1,60,25,000",Rs 0
2461,Himangshu Kumar Das,Karimganj,IND,0,8th Pass,"Rs 30,000",Rs 0
2462,HIMMATBHAI MOHANBHAI RATHOD,Anand,IJP,0,10th Pass,"Rs 1,84,500",Rs 0
2463,HIMRAJ SINGH,Katihar,IND,0,12th Pass,"Rs 7,34,282","Rs 8,38,532"
2464,HIND KESRI YADAV,Vaishali,INC,2,Post Graduate,"Rs 1,26,83,383",Rs 0
2465,HIRA LAL,Fatehgarh Sahib,BVP,0,8th Pass,"Rs 2,85,000",Rs 0
2466,HIRA LAL,Allahabad,IND,0,Graduate,"Rs 5,57,416",Rs 0
2467,HIRA RAM TUPHANI,Palamau,BSP,1,Graduate Professional,"Rs 1,24,45,258","Rs 5,15,000"
2468,HIRABEN DALPATBHAI VANZARA,Kachchh,IND,0,Literate,"Rs 65,000",Rs 0
2469,HIRABHAI GORDHANBHAI CHANGELA,Rajkot,IND,0,Graduate,"Rs 36,53,000","Rs 8,514"
2470,HIRALAL VISHWAKARMA,Rewa,IND,0,8th Pass,"Rs 19,00,000",Rs 0
2471,Hirdayaram Rathiya,Raigarh,INC,0,Post Graduate,"Rs 21,45,000","Rs 3,08,875"
2472,HIREMATH RENUKARADHYA SHARANAYYA,Bagalkot,IND,0,12th Pass,"Rs 6,00,000","Rs 5,18,000"
2473,Hitendra Das,Coochbehar,IND,0,8th Pass,Nil,"Rs 25,000"
2474,HITENDRASINH JAYVANTSINH JADEJA,Jamnagar,RKSP,0,10th Pass,"Rs 2,20,000",Rs 0
2475,HITENDRASINH MOHANSINH PARMAR,Anand,SP,0,10th Pass,"Rs 9,500","Rs 19,502"
2476,HITESHBHAI BHAGVANJIBHAI NAYAKPARA,Surendranagar,IND,0,10th Pass,"Rs 25,85,000","Rs 4,00,000"
2477,HIWARKAR SUDHIR MOTIRAMJI,Chandrapur,IND,0,Post Graduate,"Rs 23,42,972",Rs 0
2478,HOLE BHANUDAS NAMDEO,Ahmednagar,BBM,0,Post Graduate,"Rs 10,36,556","Rs 22,000"
2479,HOOKAM CHAND SHASTRI,Mandi,RWS,0,Graduate,"Rs 7,20,000","Rs 80,000"
2480,HORILAL,Rae bareli,IND,0,Post Graduate,"Rs 2,50,000","Rs 18,500"
2481,HOTI LAL GANDHI,North West Delhi,BSKRP,0,5th Pass,"Rs 37,000",Rs 0
2482,HRENDRA SINGH MALIK,Muzaffarnagar,INC,0,Graduate,"Rs 2,19,68,281","Rs 35,24,647"
2483,HRUDHAYNATH BAPU WAGHODE ALIAS BALANHAU,Kalyan,KM,0,12th Pass,Rs 388,"Rs 4,740"
2484,Hukkeri Prakash Babanna,Chikkodi,INC,0,10th Pass,"Rs 1,77,86,032","Rs 15,12,092"
2485,HUKM DEO NARAYAN YADAV,Madhubani,BJP,0,Graduate,"Rs 2,50,12,430","Rs 2,64,033"
2486,HUKUM,Jalaun,JPS,0,Not Given,"Rs 7,99,267",Rs 0
2487,HUKUM SINGH,Kairana,BJP,1,Graduate Professional,"Rs 1,34,88,895",Rs 0
2488,HUSAINKHAN SARVERKHAN PATHAN,Junagadh,SP,0,Literate,"Rs 24,01,870",Rs 0
2489,Hussain,Ponnani,IND,2,Literate,"Rs 2,69,500",Rs 0
2490,HUSSAIN ALI,Jammu,BSP,0,10th Pass,"Rs 2,53,60,000","Rs 9,00,000"
2491,Hussain Cherichiyil,Ponnani,IND,0,Literate,"Rs 2,11,000",Rs 0
2492,Hussain Edayath,Ponnani,IND,0,5th Pass,"Rs 7,77,850",Rs 0
2493,Hussain Kadyikkal,Ponnani,IND,0,Not Given,"Rs 1,25,320","Rs 5,000"
2494,HYDER ALI.S,Chennai Central,MAMAK,2,10th Pass,"Rs 21,25,367",Rs 0
2495,I D SWAMI,Karnal,BJP,0,Post Graduate,"Rs 1,46,65,800",Rs 0
2496,I M Ahmed,Visakhapatnam,BSP,0,Graduate Professional,"Rs 57,93,700",Rs 0
2497,IBRAHIM KALLIMANI,Dharwad,IND,0,Graduate,"Rs 87,000",Rs 0
2498,IDLI RAMAPPA,Davanagere,CPI(ML)(L),0,Graduate,"Rs 4,80,000","Rs 55,000"
2499,IFTEKHAR AHMAD,Ambedkar Nagar,IND,0,Graduate,"Rs 6,19,032",Rs 0
2500,Ifthaquar Ali Bhutto,Bangalore Central,ANC,0,10th Pass,Nil,Rs 0
2501,IFTIKHAR HUSSAIN ANSARI,Srinagar,JKPDP,0,Post Graduate,"Rs 21,92,23,700","Rs 65,00,000"
2502,IGAL DILLPPA KARIYAPPA,Haveri,BSP,0,Literate,"Rs 24,10,000",Rs 0
2503,IJYARAJ SINGH,Kota,INC,0,Post Graduate,"Rs 18,01,31,144",Rs 0
2504,"ILANGOVAN, R.",Perambalur,IND,0,12th Pass,"Rs 48,05,000",Rs 0
2505,ILIYAS AZMI,Kheri,BSP,0,Others,"Rs 1,76,19,316",Rs 0
2506,ILIYAS HUSSAIN,Rae bareli,IND,0,Not Given,"Rs 98,109",Rs 0
2507,Illa Rami Reddy,Araku,IND,0,Literate,Nil,Rs 0
2508,IMAM RAJA NAQVI,Chandni Chowk,IND,0,Graduate Professional,"Rs 66,31,500",Rs 0
2509,IMRAN,Amroha,IND,0,10th Pass,"Rs 3,05,000",Rs 0
2510,IMRATLAL MARKAM,Betul,IND,0,Graduate,"Rs 5,09,000",Rs 0
2511,Imrran Pasha,Raipur,Loktantrik Samajwadi Party,0,Graduate,"Rs 10,00,000",Rs 0
2512,IMTIAZ HUSSAIN,Dibrugarh,IND,0,Graduate,"Rs 2,18,500",Rs 0
2513,INAMULLAH CHAUDHARY,Domariyaganj,PECP,0,Not Given,"Rs 1,16,95,000","Rs 6,29,335"
2514,INAYAT ALI KHAN,Davanagere,IND,0,12th Pass,"Rs 2,30,000","Rs 15,000"
2515,INBARAJ K,Tenkasi,DMDK,0,Others,"Rs 3,25,000",Rs 0
2516,Indad Jah,Secunderabad,ANC,0,Not Given,"Rs 25,000",Rs 0
2517,INDARALAL VARMA,Ujjain,IND,0,12th Pass,"Rs 76,15,000",Rs 0
2518,INDARDEO RAI,Vaishali,IND,1,Post Graduate,"Rs 10,000","Rs 39,700"
2519,INDER SING LODHI,Rajgarh,IND,0,Graduate,"Rs 37,19,050",Rs 0
2520,INDER SINGH,North West Delhi,IND,0,10th Pass,"Rs 4,55,000",Rs 0
2521,Inder Singh Namdhari,Chatra,IND,0,Graduate Professional,"Rs 2,12,77,657",Rs 0
2522,INDERJIT SINGH,Gurgaon,INC,0,Graduate Professional,"Rs 6,73,83,257","Rs 96,692"
2523,Indra dev Ram,Aurangabad,IND,0,5th Pass,"Rs 1,81,200","Rs 5,000"
2524,INDRA KUMAR,Sant Kabir Nagar,BUM,0,12th Pass,"Rs 1,21,000",Rs 0
2525,INDRA PAL,Etah,RSUPRP,0,Not Given,"Rs 3,37,500",Rs 0
2526,INDRA PAL,Pilibhit,AD,0,Post Graduate,"Rs 50,55,000","Rs 2,00,000"
2527,INDRA PRAKASH,Rajampet,IND,0,Graduate Professional,"Rs 9,50,000",Rs 0
2528,INDRA SINGH RAJPUROHIT,Pali,IND,0,Post Graduate,"Rs 12,27,000","Rs 1,45,000"
2529,INDRADEO KUMAR SINGH,Bhagalpur,IND,0,Graduate Professional,"Rs 45,000",Rs 0
2530,INDRAJEET KUMAR,Sidhi,INC,0,Graduate,"Rs 1,34,28,842","Rs 14,37,086"
2531,INDRAPAL,Muzaffarnagar,IND,0,12th Pass,"Rs 32,48,050",Rs 0
2532,INDRARAM JAT,Nagaur,IND,0,12th Pass,"Rs 2,77,56,000","Rs 5,70,000"
2533,INDRASENA REDDY,Malkajgiri,BJP,0,Post Graduate,"Rs 2,41,15,000","Rs 2,35,000"
2534,INDRESH MAIKHURI,Garhwal,CPI(ML)(L),2,Post Graduate,"Rs 2,625",Rs 0
2535,INDRISH ISMAIL DOSANI,Jamnagar,IND,0,Literate,"Rs 25,000",Rs 0
2536,INDU SINGH,Dhanbad,Samata Party,0,Graduate,"Rs 35,52,000",Rs 0
2537,INIYADAYALAN G,Kallakurichi,IND,0,Not Given,"Rs 32,18,000","Rs 10,000"
2538,INNASI. A,Karur,IND,0,Post Graduate,"Rs 1,28,500",Rs 0
2539,IQBAL,Ghaziabad,NLHP,1,Literate,"Rs 68,99,177",Rs 0
2540,IQBAL,Jaipur,IND,0,Literate,"Rs 1,05,000",Rs 0
2541,IQBAL,Tonk-Sawai Madhopur,IND,0,8th Pass,"Rs 1,18,000",Rs 0
2542,IQBAL ALAUDDIN TADVI,Raver,IND,0,Literate,Nil,Rs 0
2543,Iqbal Ansari,Koppal,JD(S),2,12th Pass,"Rs 14,37,95,090","Rs 1,97,53,700"
2544,IQBAL DURRANI,Godda,BSP,0,Graduate,"Rs 25,65,751",Rs 0
2545,IQBAL MEHMOOD,Sambhal,SP,0,Graduate,"Rs 1,01,78,486","Rs 3,07,597"
2546,IQBAL MOHAMMAD SAYYAD,Mumbai South Central,RJD,0,Graduate Professional,"Rs 1,26,17,000",Rs 0
2547,IRFAN ALI,Bijnor,IND,0,Post Graduate,"Rs 33,01,166","Rs 1,75,000"
2548,IRUDAYADASS A,Chennai South,IND,0,Graduate,"Rs 5,79,000",Rs 0
2549,ISAAC JEBA KUMAR,Arakkonam,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,Post Graduate,"Rs 10,98,25,000","Rs 70,01,100"
2550,ISAM SINGH,Nagina,INC,0,Others,"Rs 1,69,26,590","Rs 2,64,000"
2551,ISHLAM KHAN RAIAN,Guna,IND,0,5th Pass,"Rs 2,57,000",Rs 0
2552,ISHPAL SINGH TOMAR,Gurgaon,RDMP,0,10th Pass,"Rs 4,67,600",Rs 0
2553,ISHVARBHAI MAHADEVBHAI LODHA,Banaskantha,Akhil Bharatiya Jan Sangh,0,Literate,"Rs 2,86,000",Rs 0
2554,ISHWAR DATTATRAY JADHAV,Maval,IND,0,Literate,Nil,Rs 0
2555,ISHWARBHAI DHANABHAI MAKWANA,Ahmedabad West,LJP,0,Graduate,"Rs 40,00,000","Rs 6,50,000"
2556,ISHWARBHAI KHANDAS SHAH,Ahmedabad West,IND,0,Literate,"Rs 5,26,000",Rs 0
2557,ISHWARI PRASAD KUSHAWAHA,Ghazipur,CPI(ML)(L),1,Graduate,"Rs 9,33,000",Rs 0
2558,ISHWARKUMAR SHANKARRAO GHARPURE,Wardha,IND,0,Graduate,"Rs 30,25,000",Rs 0
2559,ISLAM SABIR ANSARI,Bareilly,BSP,5,12th Pass,"Rs 5,11,98,113","Rs 10,00,000"
2560,ISMAIL HUSSAIN,Barpeta,INC,0,Post Graduate,"Rs 99,31,726",Rs 0
2561,ISMAILE SHAIKH LATIF,Bhiwandi,KKJHS,0,10th Pass,"Rs 78,850","Rs 35,000"
2562,ISRAR KHAN,North East Delhi,RPIE,0,Not Given,"Rs 1,86,000",Rs 0
2563,IZHAR,Salempur,PECP,0,Literate,"Rs 93,42,499","Rs 2,26,700"
2564,J Bhaskar,Malkajgiri,IND,0,Not Given,Nil,Rs 0
2565,J C RAMANUJULA REDDY,Anantapur,IND,0,8th Pass,"Rs 25,43,000",Rs 0
2566,J Eshwarappa,Koppal,IND,0,Literate,"Rs 8,00,000",Rs 0
2567,J JAYAPPA,Shimoga,BSP,0,12th Pass,"Rs 2,73,600",Rs 0
2568,J Muni Reddy,Kadapa,BSP,1,12th Pass,"Rs 7,47,000",Rs 0
2569,J Subbarayudu,Kadapa,IND,0,5th Pass,"Rs 15,000",Rs 0
2570,J Sudhakaran,Attingal,BSP,0,Post Graduate,"Rs 61,44,000","Rs 21,25,193"
2571,J Venkateshwarlu,Tirupati,LSP,0,10th Pass,"Rs 17,48,251","Rs 8,50,000"
2572,J Vijaya Kumar,Attingal,IND,0,5th Pass,"Rs 21,000","Rs 50,000"
2573,J. BHASKAR,Dharwad,IND,0,8th Pass,"Rs 5,000",Rs 0
2574,J. SHANTHA,Bellary,BJP,0,12th Pass,"Rs 4,65,72,264",Rs 0
2575,J.D.Elangovan,Bangalore Central,IJP,0,Graduate,"Rs 31,50,000","Rs 13,00,000"
2576,JADHAV BALIRAM SUKUR,Palghar,BVA,0,8th Pass,"Rs 23,99,053",Rs 0
2577,JADHAV BHIKAJI GANGARAM,Mumbai North West,KKJHS,0,Literate,"Rs 6,40,000",Rs 0
2578,JADHAV NAMDEO BHIKAJI,Nashik,BBM,0,10th Pass,"Rs 15,01,371",Rs 0
2579,JADHAV NATTHU SHANKAR,Jalgaon,BBM,0,10th Pass,"Rs 60,000",Rs 0
2580,JADHAV PRATAPRAO GANPATRAO,Buldhana,SHS,10,Graduate,"Rs 1,20,52,820","Rs 45,41,550"
2581,JADHAV TOTARAM GANPAT,Aurangabad,IND,1,Others,"Rs 7,91,000",Rs 0
2582,JADHAV VENKAT RAO GYANOBA RAO,Bidar,IND,0,10th Pass,"Rs 3,72,000","Rs 62,500"
2583,JADHAV VISHNU MAROTI,Nanded,RLD,0,Literate,"Rs 40,000",Rs 0
2584,JADHAV VISHNU SURYABHAN,Aurangabad,IND,0,10th Pass,"Rs 13,65,000",Rs 0
2585,"JAFAR HUSSAIN, BABABHAI (PURVA MUTVALLI)",Raipur,IND,0,Literate,"Rs 7,36,000",Rs 0
2586,JAFARUNNISHA. A,Tiruchirappalli,IND,0,10th Pass,"Rs 22,32,000",Rs 0
2587,JAFORULLA MOLLA,Murshidabad,AUDF,0,Graduate,"Rs 9,57,118",Rs 300
2588,JAG RAM,Hisar,IND,0,Graduate Professional,"Rs 1,10,11,500","Rs 1,50,000"
2589,JAGADEESH YANKAPPA DODDAMANI,Haveri,IND,0,10th Pass,"Rs 14,17,000",Rs 0
2590,JAGADEESWARAN J,Arakkonam,IND,0,Post Graduate,"Rs 1,80,000",Rs 0
2591,JAGADISH GOBARA,Gwalior,IND,0,Not Given,"Rs 15,31,500","Rs 2,50,000"
2592,JAGADISH TIMMANAGOUDA PATIL,Bagalkot,INC,0,Graduate,"Rs 3,04,11,328","Rs 23,28,333"
2593,JAGAN,Gurgaon,IND,0,10th Pass,"Rs 26,00,000",Rs 0
2594,JAGAN LAL,Karauli-Dholpur,IND,0,10th Pass,"Rs 19,83,722",Rs 0
2595,JAGAN NATH SINGH,Banda,IND,0,Post Graduate,"Rs 1,53,45,000",Rs 0
2596,JAGANNATH,Hardoi,IND,0,5th Pass,"Rs 50,560",Rs 0
2597,JAGANNATH MORLIYA,Tonk-Sawai Madhopur,IND,0,Not Given,"Rs 2,60,000",Rs 0
2598,JAGANNATH PANDURANG KHARGE,Maval,IND,0,Post Graduate,Rs 878,Rs 0
2599,Jagannath Prasad Lenka,Bhubaneswar,IND,0,Graduate,"Rs 62,000",Rs 0
2600,JAGANNATH.R.JAMADAR,Bidar,BSP,1,10th Pass,"Rs 1,76,47,627","Rs 26,80,929"
2601,JAGAT SINGH,Gautam Budhha Nagar,IND,0,10th Pass,"Rs 24,96,000","Rs 4,75,000"
2602,JAGAT SINGH CHAUHAN,New Delhi,IND,0,Graduate,"Rs 86,29,000","Rs 4,83,807"
2603,JAGAT VIKRAM SINGH,Jhansi,IND,0,Not Given,"Rs 14,15,000",Rs 0
2604,JAGATHRAKSHAKAN,Arakkonam,DMK,0,10th Pass,"Rs 5,91,06,399",Rs 0
2605,JAGATSINH SAMATSANG RAJPUT,Patan,IND,0,12th Pass,"Rs 20,000",Rs 0
2606,Jagda Nand singh,Buxar,RJD,1,Graduate Professional,"Rs 65,65,488","Rs 12,263"
2607,JAGDAMBIKA PAL,Domariyaganj,INC,1,Post Graduate,"Rs 4,97,20,730","Rs 45,66,564"
2608,JAGDEEP SINGH,Firozpur,IND,0,8th Pass,"Rs 2,84,540",Rs 0
2609,JAGDEESH NARAIN SHARMA,Fatehpur,IND,0,10th Pass,"Rs 2,90,000",Rs 0
2610,JAGDEO,Kaushambi,IND,0,12th Pass,"Rs 3,15,367",Rs 0
2611,Jagdis Yadav,Jahanabad,IND,0,Not Given,"Rs 2,76,000",Rs 0
2612,JAGDISH,Mathura,IND,0,10th Pass,"Rs 16,34,000","Rs 3,31,000"
2613,JAGDISH,Jhalawar-Baran,IND,0,8th Pass,"Rs 76,000",Rs 0
2614,JAGDISH,Alwar,BHBP,0,Graduate,Nil,Rs 0
2615,JAGDISH,Kaiserganj,IND,0,Literate,"Rs 17,26,000",Rs 0
2616,JAGDISH,Mirzapur,AD,0,Others,"Rs 4,76,19,574","Rs 8,00,000"
2617,JAGDISH,Kushi Nagar,IND,0,5th Pass,"Rs 28,78,000",Rs 0
2618,JAGDISH BAIS,Chhindwara,IND,0,Graduate,"Rs 40,000",Rs 0
2619,JAGDISH CHANDER,Hisar,IND,0,Post Graduate,"Rs 39,000",Rs 0
2620,JAGDISH CHANDRA ASTHANA,Jaunpur,IND,0,Graduate Professional,"Rs 22,81,000",Rs 0
2621,JAGDISH KUMAR VERMA,Deoria,LSP,0,Post Graduate,"Rs 13,76,000",Rs 0
2622,JAGDISH NARAYAN SHUKLA,Sitapur,NCP,3,Others,"Rs 1,78,00,590","Rs 15,00,000"
2623,JAGDISH PRASAD,Kanpur,ABHM,0,Not Given,"Rs 2,84,000",Rs 0
2624,JAGDISH PRASAD,Kaiserganj,IND,0,12th Pass,"Rs 45,25,532",Rs 0
2625,JAGDISH PRASAD YADAV,Purnia,IND,0,Graduate,"Rs 9,50,522",Rs 0
2626,JAGDISH RAGHUNATH AMBADE,Nagpur,IND,0,Graduate,"Rs 8,77,000",Rs 0
2627,JAGDISH SARAN,Aonla,IND,0,Post Graduate,"Rs 2,91,444",Rs 0
2628,JAGDISH SARAN SAGAR,Rampur,IND,0,5th Pass,"Rs 6,93,000",Rs 0
2629,JAGDISH SINGH RANA,Saharanpur,BSP,0,Graduate,"Rs 1,88,67,277","Rs 2,98,187"
2630,JAGDISHBHAI MOTIJI THAKORE,Patan,INC,0,10th Pass,"Rs 33,89,298","Rs 11,58,381"
2631,JAGESHWAR PAL,Fatehpur,NCP,0,12th Pass,"Rs 23,32,112",Rs 0
2632,JAGESWAR DAYAL 1 VIKAL,Kanpur,IND,0,Post Graduate,"Rs 6,15,000",Rs 0
2633,JAGJIVAN RAM BHARTI,Jalandhar,RPI,0,12th Pass,"Rs 61,00,000","Rs 5,69,400"
2634,JAGMEET SINGH,Firozpur,IND,0,Graduate Professional,"Rs 30,06,777",Rs 0
2635,JAGROOP SINGH,Bathinda,IND,0,8th Pass,"Rs 1,02,600",Rs 0
2636,JAGRUP SINGH,Churu,Rajasthan Vikas Party,0,8th Pass,"Rs 12,50,000",Rs 0
2637,JAGRUTIBEN BABULAL GADA,Surendranagar,MJP,0,12th Pass,"Rs 5,22,944",Rs 0
2638,JAGTAP BHAGWAN DADARAO,Osmanabad,BBM,0,10th Pass,"Rs 27,85,909",Rs 0
